Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,location,timestamp,tweet,tiny_tweet,tokens,stems,score
20340,20340,20340,"[,]",2020-05-08 12:48:09+00:00,"Me parece que ya no me voy a planchar más el pelo, que lindo se ve así. La cuarentena lo puso lindo 😍",parece planchar pelo lindo cuarentena puso lindo,"['parece', 'planchar', 'pelo', 'lindo', 'cuarentena', 'puso', 'lindo']","['parec', 'planch', 'pel', 'lind', 'cuarenten', 'pus', 'lind']",1
20448,20448,20448,"[,]",2020-05-08 12:57:16+00:00,Yo cuando termine la cuarentena (si es que termina),cuando termine cuarentena termina,"['cuando', 'termine', 'cuarentena', 'termina']","['cuand', 'termin', 'cuarenten', 'termin']",1
20524,20524,20524,"[,]",2020-05-08 13:01:19+00:00,Ni en cuarentena dejo de gastar no aprendo mas,cuarentena dejo gastar aprendo,"['cuarentena', 'dejo', 'gastar', 'aprendo']","['cuarenten', 'dej', 'gast', 'aprend']",1
20525,20525,20525,"[,]",2020-05-08 13:01:26+00:00,"@mayores_sin Que no decaiga la cuarentena ,con 72 la recuerdo !",decaiga cuarentena recuerdo,"['decaiga', 'cuarentena', 'recuerdo']","['decaig', 'cuarenten', 'recuerd']",1
20597,20597,20597,"[,]",2020-05-08 13:05:32+00:00,Tan alpe2 están para hacer cuentas truchas ? Na se vuelan jajjaja Dios mío  Pega la cuarentena jajaja,alpe para hacer cuentas truchas vuelan jajjaja Dios Pega cuarentena jajaja,"['alpe', 'para', 'hacer', 'cuentas', 'truchas', 'vuelan', 'jajjaja', 'dios', 'pega', 'cuarentena', 'jajaja']","['alpe', 'par', 'hac', 'cuent', 'truch', 'vuel', 'jajjaj', 'dios', 'peg', 'cuarenten', 'jajaj']",1
20635,20635,20635,"[,]",2020-05-08 13:07:35+00:00,"soy la única que aun que extrañe  horrores a mi familia y amigxs me da angustia volver a la ""normalidad"" sabiendo que el virus sigue ahí?",nica extra horrores familia amigxs angustia volver normalidad sabiendo virus sigue,"['nica', 'extra', 'horrores', 'familia', 'amigxs', 'angustia', 'volver', 'normalidad', 'sabiendo', 'virus', 'sigue']","['nic', 'extra', 'horror', 'famili', 'amigxs', 'angusti', 'volv', 'normal', 'sab', 'virus', 'sig']",0
20729,20729,20729,"[,]",2020-05-08 13:12:24+00:00,La cuarentena pone en modo vieja chusma a muchas personas. Keeee les pasaaaa,cuarentena pone modo vieja chusma muchas personas Keeee pasaaaa,"['cuarentena', 'pone', 'modo', 'vieja', 'chusma', 'muchas', 'personas', 'keeee', 'pasaaaa']","['cuarenten', 'pon', 'mod', 'viej', 'chusm', 'much', 'person', 'keee', 'pasaaa']",1
20817,20817,20817,"[,]",2020-05-08 13:17:30+00:00,Extienden la Cuarentena... Y así cada 15 días...  En este caso hasta el 24/05 😣,Extienden Cuarentena cada este caso hasta,"['extienden', 'cuarentena', 'cada', 'este', 'caso', 'hasta']","['extiend', 'cuarenten', 'cad', 'este', 'cas', 'hast']",1
20832,20832,20832,"[,]",2020-05-08 13:18:41+00:00,Me da la sensación que ya no existe la cuarentena.  A ustedes? #cuarentena,sensaci existe cuarentena ustedes #cuarentena,"['sensaci', 'existe', 'cuarentena', 'ustedes', '#cuarentena']","['sensaci', 'exist', 'cuarenten', 'usted', '#cuarenten']",1
20864,20864,20864,"[,]",2020-05-08 13:20:40+00:00,Me da la sensación que la cuarentena ya no la cumple nadie. Me contó un pajarito que andan todos en la calle. #cuarentena,sensaci cuarentena cumple nadie cont pajarito andan todos calle #cuarentena,"['sensaci', 'cuarentena', 'cumple', 'nadie', 'cont', 'pajarito', 'andan', 'todos', 'calle', '#cuarentena']","['sensaci', 'cuarenten', 'cumpl', 'nadi', 'cont', 'pajarit', 'andan', 'tod', 'call', '#cuarenten']",1
20889,20889,20889,"[,]",2020-05-08 13:21:58+00:00,"Dale que ya llegamos a la cincuentena, quien te conoce cuarentena",Dale llegamos cincuentena quien conoce cuarentena,"['dale', 'llegamos', 'cincuentena', 'quien', 'conoce', 'cuarentena']","['dal', 'lleg', 'cincuenten', 'qui', 'conoc', 'cuarenten']",1
20942,20942,20942,"[,]",2020-05-08 13:25:31+00:00,lo único bueno de la cuarentena es q nadie me duerme el fuego,nico bueno cuarentena nadie duerme fuego,"['nico', 'bueno', 'cuarentena', 'nadie', 'duerme', 'fuego']","['nic', 'buen', 'cuarenten', 'nadi', 'duerm', 'fueg']",1
20995,20995,20995,"[,]",2020-05-08 13:28:56+00:00,Ahorrar en pesos! Oscar a la mejor frase de la cuarentena. 🏆,Ahorrar pesos Oscar mejor frase cuarentena,"['ahorrar', 'pesos', 'oscar', 'mejor', 'frase', 'cuarentena']","['ahorr', 'pes', 'oscar', 'mejor', 'fras', 'cuarenten']",2
21014,21014,21014,"[,]",2020-05-08 13:30:15+00:00,"@ailulombardero ""Voy a cumplir con la cuarentena a fondo""",cumplir cuarentena fondo,"['cumplir', 'cuarentena', 'fondo']","['cumpl', 'cuarenten', 'fond']",1
21023,21023,21023,"[,]",2020-05-08 13:30:56+00:00,Como hago para compartir la historia esa de esta persona rompió la cuarentena? Es para un tp,Como hago para compartir historia esta persona rompi cuarentena para,"['como', 'hago', 'para', 'compartir', 'historia', 'esta', 'persona', 'rompi', 'cuarentena', 'para']","['com', 'hag', 'par', 'compart', 'histori', 'esta', 'person', 'rompi', 'cuarenten', 'par']",1
21121,21121,21121,"[,]",2020-05-08 13:37:07+00:00,@arispelucas95 Pasa la cuarentena y el plan es otro,Pasa cuarentena plan otro,"['pasa', 'cuarentena', 'plan', 'otro']","['pas', 'cuarenten', 'plan', 'otro']",1
21256,21256,21256,"[,]",2020-05-08 13:44:24+00:00,Cuando se termine la cuarentena me atajan por allá por Florida lo prometo,Cuando termine cuarentena atajan Florida prometo,"['cuando', 'termine', 'cuarentena', 'atajan', 'florida', 'prometo']","['cuand', 'termin', 'cuarenten', 'ataj', 'flor', 'promet']",1
21263,21263,21263,"[,]",2020-05-08 13:44:56+00:00,Señor@s DATOS o EE UU tuvo una cuarentena comunista?,DATOS tuvo cuarentena comunista,"['datos', 'tuvo', 'cuarentena', 'comunista']","['dat', 'tuv', 'cuarenten', 'comun']",1
21291,21291,21291,"[,]",2020-05-08 13:46:12+00:00,Municipios en rojo: el Conurbano seguirá en cuarentena y en emergencia económica,Municipios rojo Conurbano seguir cuarentena emergencia econ mica,"['municipios', 'rojo', 'conurbano', 'seguir', 'cuarentena', 'emergencia', 'econ', 'mica']","['municipi', 'roj', 'conurban', 'segu', 'cuarenten', 'emergent', 'econ', 'mic']",1
21423,21423,21423,"[,]",2020-05-08 13:52:41+00:00,"@soyjguzma @jlespert Además el transporte público ya funciona, o no viste las fotos del roca explotando en plena cuarentena? No seas necio",Adem transporte blico funciona viste fotos roca explotando plena cuarentena seas necio,"['adem', 'transporte', 'blico', 'funciona', 'viste', 'fotos', 'roca', 'explotando', 'plena', 'cuarentena', 'seas', 'necio']","['adem', 'transport', 'blic', 'funcion', 'vist', 'fot', 'roc', 'explot', 'plen', 'cuarenten', 'seas', 'neci']",1
21489,21489,21489,"[,]",2020-05-08 13:56:43+00:00,"@ML_Ayuda no entiendo , suspendí el aviso de un departamento por la cuarentena y cuando quiero reactivar me quieren volver a cobrar????",entiendo suspend aviso departamento cuarentena cuando quiero reactivar quieren volver cobrar,"['entiendo', 'suspend', 'aviso', 'departamento', 'cuarentena', 'cuando', 'quiero', 'reactivar', 'quieren', 'volver', 'cobrar']","['entiend', 'suspend', 'avis', 'departament', 'cuarenten', 'cuand', 'quier', 'reactiv', 'quier', 'volv', 'cobr']",0
21698,21698,21698,"[,]",2020-05-08 14:07:39+00:00,CorianavirusEnArgentina..Se extenderá la cuarentena hasta el 24 de mayo....,CorianavirusEnArgentina extender cuarentena hasta mayo,"['corianavirusenargentina', 'extender', 'cuarentena', 'hasta', 'mayo']","['corianavirusenargentin', 'extend', 'cuarenten', 'hast', 'may']",1
21802,21802,21802,"[,]",2020-05-08 14:13:03+00:00,En lo que va de la cuarentena mi cabeza no me dejo de joder un puto dia,cuarentena cabeza dejo joder puto,"['cuarentena', 'cabeza', 'dejo', 'joder', 'puto']","['cuarenten', 'cabez', 'dej', 'jod', 'put']",0
21894,21894,21894,"[,]",2020-05-08 14:18:24+00:00,"La cuarentena es física, no es mental !!",cuarentena sica mental,"['cuarentena', 'sica', 'mental']","['cuarenten', 'sic', 'mental']",1
21921,21921,21921,"[,]",2020-05-08 14:19:40+00:00,One developer y yo acá haciendo nada en la cuarentena,developer haciendo nada cuarentena,"['developer', 'haciendo', 'nada', 'cuarentena']","['develop', 'hac', 'nad', 'cuarenten']",1
22082,22082,22082,"[,]",2020-05-08 14:27:58+00:00,Este carajo se lesiona hasta en cuarentena.,Este carajo lesiona hasta cuarentena,"['este', 'carajo', 'lesiona', 'hasta', 'cuarentena']","['este', 'caraj', 'lesion', 'hast', 'cuarenten']",0
22275,22275,22275,"[,]",2020-05-08 14:38:34+00:00,Cuando termine la cuarentena lo primero que quiero hacer es ir a comer una hamburguesa en el bar estilo peaky blinders de Avellaneda  ysi,Cuando termine cuarentena primero quiero hacer comer hamburguesa estilo peaky blinders Avellaneda,"['cuando', 'termine', 'cuarentena', 'primero', 'quiero', 'hacer', 'comer', 'hamburguesa', 'estilo', 'peaky', 'blinders', 'avellaneda']","['cuand', 'termin', 'cuarenten', 'primer', 'quier', 'hac', 'com', 'hamburgues', 'estil', 'peaky', 'blinders', 'avellaned']",1
22361,22361,22361,"[,]",2020-05-08 14:42:10+00:00,Le tengo más miedo a la balanza de fin de cuarentena,tengo miedo balanza cuarentena,"['tengo', 'miedo', 'balanza', 'cuarentena']","['teng', 'mied', 'balanz', 'cuarenten']",1
22425,22425,22425,"[,]",2020-05-08 14:44:44+00:00,En que momento cambiaron tanto las cosas? Siento que desde enero estamos en cuarentena,momento cambiaron tanto cosas Siento desde enero estamos cuarentena,"['momento', 'cambiaron', 'tanto', 'cosas', 'siento', 'desde', 'enero', 'estamos', 'cuarentena']","['moment', 'cambi', 'tant', 'cos', 'sient', 'desd', 'ener', 'estam', 'cuarenten']",0
22456,22456,22456,"[,]",2020-05-08 14:46:05+00:00,A ésta altura de la cuarentena ya se sueña cualquier cosa.,altura cuarentena cualquier cosa,"['altura', 'cuarentena', 'cualquier', 'cosa']","['altur', 'cuarenten', 'cualqui', 'cos']",1
22635,22635,22635,"[,]",2020-05-08 14:54:27+00:00,"No quería ni toser mientras atendía, iban a pensar que tengo el virus.🤦‍♂️😂",quer toser mientras atend iban pensar tengo virus,"['quer', 'toser', 'mientras', 'atend', 'iban', 'pensar', 'tengo', 'virus']","['quer', 'tos', 'mientr', 'atend', 'iban', 'pens', 'teng', 'virus']",1
22679,22679,22679,"[,]",2020-05-08 14:56:34+00:00,@PlanetaRacing Cuarentena alert,Cuarentena alert,"['cuarentena', 'alert']","['cuarenten', 'alert']",1
22682,22682,22682,"[,]",2020-05-08 14:56:38+00:00,Las consecuencias del encierro en el comportamiento de los niñxs en cuarentena.  Abro hijo.,consecuencias encierro comportamiento cuarentena Abro hijo,"['consecuencias', 'encierro', 'comportamiento', 'cuarentena', 'abro', 'hijo']","['consecuent', 'encierr', 'comport', 'cuarenten', 'abro', 'hij']",1
22709,22709,22709,"[,]",2020-05-08 14:57:44+00:00,"Se se pero ahí salió el virus y se murieron miles, acá 200...  Ta luego...",pero sali virus murieron miles luego,"['pero', 'sali', 'virus', 'murieron', 'miles', 'luego']","['per', 'sali', 'virus', 'mur', 'mil', 'lueg']",1
22714,22714,22714,"[,]",2020-05-08 14:58:05+00:00,@calderondiegom Sabes la cuarentena como sube el índice poblacional no ajajaja,Sabes cuarentena como sube ndice poblacional ajajaja,"['sabes', 'cuarentena', 'como', 'sube', 'ndice', 'poblacional', 'ajajaja']","['sab', 'cuarenten', 'com', 'sub', 'ndic', 'poblacional', 'ajajaj']",1
22767,22767,22767,"[,]",2020-05-08 15:00:48+00:00,"Buen día, otro día en cuarentena",Buen otro cuarentena,"['buen', 'otro', 'cuarentena']","['buen', 'otro', 'cuarenten']",1
22899,22899,22899,"[,]",2020-05-08 15:07:11+00:00,"Peor que la cuarentena solo, es la cuarentena con gente en la que desconfias...",Peor cuarentena solo cuarentena gente desconfias,"['peor', 'cuarentena', 'solo', 'cuarentena', 'gente', 'desconfias']","['peor', 'cuarenten', 'sol', 'cuarenten', 'gent', 'desconfi']",0
22940,22940,22940,"[,]",2020-05-08 15:09:22+00:00,Mi mejor amigo esta cuarentena sin duda ha sido el vodka ❤️,mejor amigo esta cuarentena duda sido vodka,"['mejor', 'amigo', 'esta', 'cuarentena', 'duda', 'sido', 'vodka']","['mejor', 'amig', 'esta', 'cuarenten', 'dud', 'sid', 'vodk']",2
22989,22989,22989,"[,]",2020-05-08 15:11:55+00:00,* soñe que se me rompia la contención de los dientes y por la cuarentena no podía ir al dentista entonces se me deformaban* realmente feo,rompia contenci dientes cuarentena dentista entonces deformaban realmente,"['rompia', 'contenci', 'dientes', 'cuarentena', 'dentista', 'entonces', 'deformaban', 'realmente']","['rompi', 'contenci', 'dient', 'cuarenten', 'dentist', 'entonc', 'deform', 'realment']",1
23055,23055,23055,"[,]",2020-05-08 15:15:56+00:00,"Nunca vi el barrio tan limpio wacho, algo bueno hizo la cuarentena por lo meno!",Nunca barrio limpio wacho algo bueno hizo cuarentena meno,"['nunca', 'barrio', 'limpio', 'wacho', 'algo', 'bueno', 'hizo', 'cuarentena', 'meno']","['nunc', 'barri', 'limpi', 'wach', 'algo', 'buen', 'hiz', 'cuarenten', 'men']",2
23252,23252,23252,"[,]",2020-05-08 15:25:04+00:00,día 477282 de cuarentena y hoy me vestí. gran avance personal,cuarentena vest gran avance personal,"['cuarentena', 'vest', 'gran', 'avance', 'personal']","['cuarenten', 'vest', 'gran', 'avanc', 'personal']",1
23258,23258,23258,"[,]",2020-05-08 15:25:22+00:00,"Día 50mil de cuarentena, Me levanté bien pero media fastidiosa....",cuarentena levant bien pero media fastidiosa,"['cuarentena', 'levant', 'bien', 'pero', 'media', 'fastidiosa']","['cuarenten', 'levant', 'bien', 'per', 'medi', 'fastidi']",1
23363,23363,23363,"[,]",2020-05-08 15:29:35+00:00,Que hermosamente rota que esta la cuarentena... Todo el mundo en la calle... La politica fallo de nuevo,hermosamente rota esta cuarentena Todo mundo calle politica fallo nuevo,"['hermosamente', 'rota', 'esta', 'cuarentena', 'todo', 'mundo', 'calle', 'politica', 'fallo', 'nuevo']","['herm', 'rot', 'esta', 'cuarenten', 'tod', 'mund', 'call', 'polit', 'fall', 'nuev']",2
23438,23438,23438,"[,]",2020-05-08 15:33:47+00:00,"Che todo bien con el virus, abejas, dengue, todo eso pero arañas no eh, todo menos arañas por favor",todo bien virus abejas dengue todo pero todo menos favor,"['todo', 'bien', 'virus', 'abejas', 'dengue', 'todo', 'pero', 'todo', 'menos', 'favor']","['tod', 'bien', 'virus', 'abej', 'deng', 'tod', 'per', 'tod', 'men', 'favor']",2
23471,23471,23471,"[,]",2020-05-08 15:35:14+00:00,"Che todo bien con el virus, abejas, dengue, todo eso pero arañas no eh, todo menos arañas por favor",todo bien virus abejas dengue todo pero todo menos favor,"['todo', 'bien', 'virus', 'abejas', 'dengue', 'todo', 'pero', 'todo', 'menos', 'favor']","['tod', 'bien', 'virus', 'abej', 'deng', 'tod', 'per', 'tod', 'men', 'favor']",2
23530,23530,23530,"[,]",2020-05-08 15:37:47+00:00,Otra de las plagas que se expande en silencio gracias a la cuarentena es Tic Toc. Tiene efecto teletubi. Ojo ! Jajaja,Otra plagas expande silencio gracias cuarentena Tiene efecto teletubi Jajaja,"['otra', 'plagas', 'expande', 'silencio', 'gracias', 'cuarentena', 'tiene', 'efecto', 'teletubi', 'jajaja']","['otra', 'plag', 'expand', 'silenci', 'graci', 'cuarenten', 'tien', 'efect', 'teletubi', 'jajaj']",1
23537,23537,23537,"[,]",2020-05-08 15:38:04+00:00,Sabes cuántas historias conteste porque pensé que realmente decían que yo violaba la cuarentena Marge? 5 historias.,Sabes ntas historias conteste porque pens realmente violaba cuarentena Marge historias,"['sabes', 'ntas', 'historias', 'conteste', 'porque', 'pens', 'realmente', 'violaba', 'cuarentena', 'marge', 'historias']","['sab', 'ntas', 'histori', 'contest', 'porqu', 'pens', 'realment', 'viol', 'cuarenten', 'marg', 'histori']",1
23546,23546,23546,"[,]",2020-05-08 15:38:34+00:00,@Aneta @jorgemacri Por mi casa en Olivos pasaron 2 o 3 veces en lo que va de la cuarentena. Pasan tarde a la noche.,casa Olivos pasaron veces cuarentena Pasan tarde noche,"['casa', 'olivos', 'pasaron', 'veces', 'cuarentena', 'pasan', 'tarde', 'noche']","['cas', 'oliv', 'pas', 'vec', 'cuarenten', 'pas', 'tard', 'noch']",1
23587,23587,23587,"[,]",2020-05-08 15:40:11+00:00,Fa la parte q mas sufro d la cuarentena es no podes grabar firme toy necesito ir al estudio fuerte,parte sufro cuarentena podes grabar firme necesito estudio fuerte,"['parte', 'sufro', 'cuarentena', 'podes', 'grabar', 'firme', 'necesito', 'estudio', 'fuerte']","['part', 'sufr', 'cuarenten', 'pod', 'grab', 'firm', 'necesit', 'estudi', 'fuert']",1
23608,23608,23608,"[,]",2020-05-08 15:41:02+00:00,La próxima vez no cumplas años en cuarentena sabés @Jeroniimo96,xima cumplas cuarentena,"['xima', 'cumplas', 'cuarentena']","['xim', 'cumpl', 'cuarenten']",1
23647,23647,23647,"[,]",2020-05-08 15:42:27+00:00,"Que bueno q aun no me agarre ese virus mortal q te deja embarazada, gracias a q no la pongo",bueno agarre virus mortal deja embarazada gracias pongo,"['bueno', 'agarre', 'virus', 'mortal', 'deja', 'embarazada', 'gracias', 'pongo']","['buen', 'agarr', 'virus', 'mortal', 'dej', 'embaraz', 'graci', 'pong']",1
23669,23669,23669,"[,]",2020-05-08 15:43:23+00:00,"En verdad entamos en cuarentena, peatonal Rivadavia parece La Bristol un 5 de enero....",verdad entamos cuarentena peatonal Rivadavia parece Bristol enero,"['verdad', 'entamos', 'cuarentena', 'peatonal', 'rivadavia', 'parece', 'bristol', 'enero']","['verd', 'entam', 'cuarenten', 'peatonal', 'rivadavi', 'parec', 'bristol', 'ener']",1
23780,23780,23780,"[,]",2020-05-08 15:47:51+00:00,Cuarentena día ??????: hoy me desperté llorando porque tuve un sueño horrible.,Cuarentena despert llorando porque tuve horrible,"['cuarentena', 'despert', 'llorando', 'porque', 'tuve', 'horrible']","['cuarenten', 'despert', 'llor', 'porqu', 'tuv', 'horribl']",1
23812,23812,23812,"[,]",2020-05-08 15:49:50+00:00,"@facuuubalmaceda Se levanta esto y voy, si no me mara el virus este me mata el olor a caucho quemado y el methanol",levanta esto mara virus este mata olor caucho quemado methanol,"['levanta', 'esto', 'mara', 'virus', 'este', 'mata', 'olor', 'caucho', 'quemado', 'methanol']","['levant', 'esto', 'mar', 'virus', 'este', 'mat', 'olor', 'cauch', 'quem', 'methanol']",1
23880,23880,23880,"[,]",2020-05-08 15:53:39+00:00,"La 1 de la tarde y todavía no me dormí, rompí récord en esta cuarentena",tarde todav dorm romp cord esta cuarentena,"['tarde', 'todav', 'dorm', 'romp', 'cord', 'esta', 'cuarentena']","['tard', 'todav', 'dorm', 'romp', 'cord', 'esta', 'cuarenten']",0
24035,24035,24035,"[,]",2020-05-08 16:01:37+00:00,El mundo abre la cuarentena. Esto ya es una joda muchachos vamos a tener más cuarentena que China,mundo abre cuarentena Esto joda muchachos vamos tener cuarentena China,"['mundo', 'abre', 'cuarentena', 'esto', 'joda', 'muchachos', 'vamos', 'tener', 'cuarentena', 'china']","['mund', 'abre', 'cuarenten', 'esto', 'jod', 'muchach', 'vam', 'ten', 'cuarenten', 'chin']",1
24051,24051,24051,"[,]",2020-05-08 16:02:26+00:00,Por qué descubrí comprar cosas en cuarentena? Xq xq xq,descubr comprar cosas cuarentena,"['descubr', 'comprar', 'cosas', 'cuarentena']","['descubr', 'compr', 'cos', 'cuarenten']",1
24102,24102,24102,"[,]",2020-05-08 16:05:29+00:00,Creo que mi mamá me extraña así que tengo que pensar en un regalo para ella (no estuve en su cumpleaños para la cuarentena ),Creo extra tengo pensar regalo para ella estuve cumplea para cuarentena,"['creo', 'extra', 'tengo', 'pensar', 'regalo', 'para', 'ella', 'estuve', 'cumplea', 'para', 'cuarentena']","['cre', 'extra', 'teng', 'pens', 'regal', 'par', 'ella', 'estuv', 'cumple', 'par', 'cuarenten']",0
24123,24123,24123,"[,]",2020-05-08 16:06:23+00:00,Hija(7) cumple en 20 dias y ya pidió regalo: que se acabe la cuarentena y una horma de parmesano estacionado. Se auto-percibe hija de Trump.,Hija cumple dias pidi regalo acabe cuarentena horma parmesano estacionado auto percibe hija Trump,"['hija', 'cumple', 'dias', 'pidi', 'regalo', 'acabe', 'cuarentena', 'horma', 'parmesano', 'estacionado', 'auto', 'percibe', 'hija', 'trump']","['hij', 'cumpl', 'dias', 'pidi', 'regal', 'acab', 'cuarenten', 'horm', 'parmesan', 'estacion', 'aut', 'percib', 'hij', 'trump']",0
24132,24132,24132,"[,]",2020-05-08 16:06:48+00:00,"@sangarciacorre ¡No, más virus nuevos no!",virus nuevos,"['virus', 'nuevos']","['virus', 'nuev']",1
24160,24160,24160,"[,]",2020-05-08 16:08:00+00:00,Es la primera vez que salgo desde la cuarentena para comprar y fuua desconozco mi propio barrio.,primera salgo desde cuarentena para comprar fuua desconozco propio barrio,"['primera', 'salgo', 'desde', 'cuarentena', 'para', 'comprar', 'fuua', 'desconozco', 'propio', 'barrio']","['primer', 'salg', 'desd', 'cuarenten', 'par', 'compr', 'fuu', 'desconozc', 'propi', 'barri']",0
24176,24176,24176,"[,]",2020-05-08 16:08:34+00:00,Computadora del orto que se viene a romper justo en cuarentena cuando más la necesito.,Computadora orto viene romper justo cuarentena cuando necesito,"['computadora', 'orto', 'viene', 'romper', 'justo', 'cuarentena', 'cuando', 'necesito']","['comput', 'orto', 'vien', 'romp', 'just', 'cuarenten', 'cuand', 'necesit']",0
24204,24204,24204,"[,]",2020-05-08 16:09:47+00:00,Estoy comiendo un choripan después de AÑOS. Mi cuarentena acaba de mejorar notablemente.,Estoy comiendo choripan despu cuarentena acaba mejorar notablemente,"['estoy', 'comiendo', 'choripan', 'despu', 'cuarentena', 'acaba', 'mejorar', 'notablemente']","['estoy', 'com', 'chorip', 'despu', 'cuarenten', 'acab', 'mejor', 'notabl']",0
24225,24225,24225,"[,]",2020-05-08 16:10:43+00:00,JAAAAJAJA Nueva manera de combatir el corona. Agitar las manos(?,JAAAAJAJA Nueva manera combatir corona Agitar manos,"['jaaaajaja', 'nueva', 'manera', 'combatir', 'corona', 'agitar', 'manos']","['jaaaajaj', 'nuev', 'maner', 'combat', 'coron', 'agit', 'man']",1
24285,24285,24285,"[,]",2020-05-08 16:13:43+00:00,A mi me trajo algo lindo esta cuarentena. 😊😉😃,trajo algo lindo esta cuarentena,"['trajo', 'algo', 'lindo', 'esta', 'cuarentena']","['traj', 'algo', 'lind', 'esta', 'cuarenten']",2
24366,24366,24366,"[,]",2020-05-08 16:19:09+00:00,La mermelada cuando vuelva al departamento después de la cuarentena,mermelada cuando vuelva departamento despu cuarentena,"['mermelada', 'cuando', 'vuelva', 'departamento', 'despu', 'cuarentena']","['mermel', 'cuand', 'vuelv', 'departament', 'despu', 'cuarenten']",1
24409,24409,24409,"[,]",2020-05-08 16:21:00+00:00,Necesito 10 de esas 🤣 para curar el dolor de la CUARENTENA jjajajajajaajajjaajajajjaa,Necesito esas para curar dolor CUARENTENA jjajajajajaajajjaajajajjaa,"['necesito', 'esas', 'para', 'curar', 'dolor', 'cuarentena', 'jjajajajajaajajjaajajajjaa']","['necesit', 'esas', 'par', 'cur', 'dolor', 'cuarenten', 'jjajajajajaajajjaajajajja']",0
24413,24413,24413,"[,]",2020-05-08 16:21:05+00:00,Cuarentena dia 51: Feliz Cumple Tio @ElTioMaxJoven 🥳,Cuarentena Feliz Cumple,"['cuarentena', 'feliz', 'cumple']","['cuarenten', 'feliz', 'cumpl']",1
